index, mean, mean_truncated, num_samples, run_time, stdev
SHORT (3min) Runs
18,19.515099264923347,17.42467879279229,55131,24.156112999999998,12.140826182169231
20,20.725556075551435,18.315957492572828,55927,23.80887500000559,12.34358183790952
24,24.05188852785412,21.224088416117947,57448,21.739054000000003,12.17420811597341
22,22.987215824973962,20.100071120148197,60018,23.668028,12.811317524816948
21,22.601200942527296,19.791749398114735,59561,23.715764,13.061737583741794
19,20.735453029686376,18.402780645851216,60735,25.563999999999997,12.461870909386695
23,23.70612287116161,20.64530277463882,66251,25.62709600001873,13.119263757375307
25,25.977728224292385,23.659358589333923,65720,21.923196000001035,10.42641910705532
LONG (5min) Runs
26,24.92632867747581,24.652640737119835,70410,21.7064930000117,4.099778300548899
25.5,23.903230594784784,24.195563545318116,83083,23.934459999999998,5.037030200777203
24.5,22.86384446352025,23.404163371802923,85643,21.439976000011193,5.020855164836645
25,23.299649443473047,23.781293114610932,90021,24.473914999999998,5.253822249094735
24,19.514707822993028,19.448370412620655,119748,20.088106,5.396333672222074
23,19.671517649288152,19.620056367178268,131869,24.011094000016275,5.517910863272119
23.5,19.295574831161503,19.137533738495392,141195,24.117886000041004,5.403444589650218
